,岗位,公司,薪资,位置,公司性质,规模,工作领域,福利,学历,最低薪资,最高薪资,平均薪资
3319,销售代表,吉林省富生医疗器械有限公司,"[4.0, 8.0, 6.0]",长春-净月经济开发区,民营公司,150-500人,"['医疗设备', '器械']","['五险一金', '员工旅游', '年终奖金', '专业培训', '免费班车', '周末双休', '带薪年假', '节日福利']","""本科""",4.0,8.0,6.0
3320,电子研发工程师,吉林省富生医疗器械有限公司,"[7.0, 14.0, 10.5]",长春-净月经济开发区,民营公司,150-500人,"['医疗设备', '器械']","['五险一金', '员工旅游', '年终奖金', '专业培训', '免费班车', '周末双休', '带薪年假', '节日福利']","""本科""",7.0,14.0,10.5
3321,话务员+带薪年假+双休 +寒假短期工,泰康人寿吉林电话营销中心,"[5.0, 7.0, 6.0]",长春-绿园区,上市公司,10000人以上,['保险'],"['做五休二', '做一休一', '周末双休', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '高温补贴']","""大专""",5.0,7.0,6.0
3322,泰康集团客服专员+双休,泰康人寿吉林电话营销中心,"[7.0, 10.0, 8.5]",长春-绿园区,上市公司,10000人以上,['保险'],"['做五休二', '做一休一', '周末双休', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '高温补贴']","""大专""",7.0,10.0,8.5
3323,泰康集团保险售后+双休+带薪年假,泰康人寿吉林电话营销中心,"[7.0, 10.0, 8.5]",长春-绿园区,上市公司,10000人以上,['保险'],"['做五休二', '做一休一', '周末双休', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '高温补贴']","""大专""",7.0,10.0,8.5
3324,话务员+无责任底薪+双休,泰康人寿吉林电话营销中心,"[5.0, 7.0, 6.0]",长春-绿园区,上市公司,10000人以上,['保险'],"['做五休二', '做一休一', '周末双休', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '高温补贴']","""大专""",5.0,7.0,6.0
3325,暑假实习+双休,泰康人寿吉林电话营销中心,"[4.0, 5.0, 4.5]",长春-绿园区,上市公司,10000人以上,['保险'],"['做五休二', '做一休一', '周末双休', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '高温补贴']","""大专""",4.0,5.0,4.5
3326,资料录入员+双休,泰康人寿吉林电话营销中心,"[5.0, 7.0, 6.0]",长春-绿园区,上市公司,10000人以上,['保险'],"['做五休二', '做一休一', '周末双休', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '高温补贴']","""大专""",5.0,7.0,6.0
3327,假期短期工+应届生客服+双休,泰康人寿吉林电话营销中心,"[4.0, 5.0, 4.5]",长春-绿园区,上市公司,10000人以上,['保险'],"['做五休二', '做一休一', '周末双休', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '高温补贴']","""大专""",4.0,5.0,4.5
3328,人事+五险一金,泰康人寿吉林电话营销中心,"[4.0, 5.0, 4.5]",长春-绿园区,上市公司,10000人以上,['保险'],"['做五休二', '周末双休', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '高温补贴', '住房补贴']","""大专""",4.0,5.0,4.5
3329,储备干部+实习生+双休,泰康人寿吉林电话营销中心,"[5.0, 7.0, 6.0]",长春-绿园区,上市公司,10000人以上,['保险'],"['做五休二', '周末双休', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '住房补贴', '高温补贴']","""大专""",5.0,7.0,6.0
3330,双休+网络销售+无责底薪+高提成,泰康人寿吉林电话营销中心,"[7.0, 10.0, 8.5]",长春-绿园区,上市公司,10000人以上,['保险'],[''],"""高中""",7.0,10.0,8.5
3331,双休+无压力95522客服+五险一金,泰康人寿吉林电话营销中心,"[5.0, 7.0, 6.0]",长春-绿园区,上市公司,10000人以上,['保险'],[''],"""大专""",5.0,7.0,6.0
3332,坐五休二+无压力客服+五险一金,泰康人寿吉林电话营销中心,"[7.0, 10.0, 8.5]",长春-绿园区,上市公司,10000人以上,['保险'],[''],"""大专""",7.0,10.0,8.5
3333,送餐员,长春市奔跑兔商贸有限公司,"[10.0, 12.0, 11.0]",长春-高新技术产业开发区,民营公司,50-150人,['餐饮业'],[''],"""初中及以下""",10.0,12.0,11.0
3334,骑手,长春市奔跑兔商贸有限公司,"[10.0, 12.0, 11.0]",长春-高新技术产业开发区,民营公司,50-150人,['餐饮业'],[''],"""初中及以下""",10.0,12.0,11.0
3335,白酒销售经理 红酒销售 啤酒销售,长春市华茂酒业有限公司,"[5.0, 10.0, 7.5]",长春-南关区,民营公司,少于50人,['快速消费品(食品、饮料、化妆品)'],"['带薪年假', '绩效奖金', '全勤奖', '节日福利']","""中专""",5.0,10.0,7.5
3336,营业员 导购员 专卖店销售员,长春市华茂酒业有限公司,"[2.0, 5.0, 3.5]",长春-南关区,民营公司,少于50人,['快速消费品(食品、饮料、化妆品)'],"['绩效奖金', '节日福利', '员工旅游', '全勤奖']","""无需经验""",2.0,5.0,3.5
3337,团购业务经理 渠道销售,长春市华茂酒业有限公司,"[5.0, 10.0, 7.5]",长春-南关区,民营公司,少于50人,['快速消费品(食品、饮料、化妆品)'],"['带薪年假', '绩效奖金', '全勤奖', '节日福利']","""中专""",5.0,10.0,7.5
3338,在线班主任,上海一起作业信息科技有限公司北京分公司,"[7.0, 10.0, 8.5]",长春-二道区,民营公司,10000人以上,"['教育', '培训', '院校']",[''],"""本科""",7.0,10.0,8.5
3339,诚聘初高中语文教师（五险一金+双休）(J18229),长春学大教育培训学校,"[7.0, 10.0, 8.5]",长春-朝阳区,民营公司,500-1000人,"['教育', '培训', '院校']","['五险一金', '定期体检', '带薪年假']","""本科""",7.0,10.0,8.5
3340,长春研发工程师,易联众通达易（厦门）信息科技有限公司,"[10.0, 16.0, 13.0]",长春-朝阳区,上市公司,50-150人,['计算机软件'],"['弹性工作', '五险一金', '绩效奖金', '节日福利', '周末双休', '股票期权', '员工旅游', '年终奖金', '专业培训', '项目提成']","""本科""",10.0,16.0,13.0
3341,工艺研究,吉林玲珑轮胎有限公司,"[5.0, 10.0, 7.5]",长春-汽车产业开发区,民营公司,1000-5000人,"['石油', '化工', '矿产', '地质']","['五险一金', '免费班车', '绩效奖金', '餐饮补贴', '通讯补贴', '节日福利']","""本科""",5.0,10.0,7.5
