,岗位,公司,薪资,位置,公司性质,规模,工作领域,福利,学历,最低薪资,最高薪资,平均薪资
122,运营专员,吉林省融澳科技有限公司,"[4.0, 5.0, 4.5]",长春,民营公司,,['计算机软件'],['弹性工作'],"""无需经验""",4.0,5.0,4.5
123,招商运营经理（长春）,盈石企业管理（成都）有限公司,"[12.0, 24.0, 18.0]",长春,合资,少于50人,['专业服务(咨询、人力资源、财会)'],"['周末双休', '带薪年假', '五险一金', '绩效奖金', '节日福利', '补充公积金', '员工旅游', '年终奖金']","""本科""",12.0,24.0,18.0
124,网络推广专员,普瑞眼科医院集团,"[5.0, 7.0, 6.0]",长春,民营公司,1000-5000人,"['医疗', '护理', '卫生']","['五险一金', '专业培训', '绩效奖金', '年终奖金', '餐饮补贴']","""大专""",5.0,7.0,6.0
125,区域销售经理（吉林）,上海希格玛高技术有限公司,"[6.0, 8.0, 7.0]",长春,民营公司,50-150人,"['医疗设备', '器械']","['免费班车', '员工旅游', '专业培训', '定期体检', '做五休二', '带薪年假', '节日福利', '提成奖金', '商业保险', '出勤补贴']","""大专""",6.0,8.0,7.0
126,查勘定损,吉林省钧钊法律咨询有限责任公司,"[7.0, 10.0, 8.5]",长春-高新技术产业开发区,民营公司,50-150人,['法律'],['绩效奖金'],"""无需经验""",7.0,10.0,8.5
127,Java工程师,用友汽车信息科技（上海）股份有限公司,"[8.0, 14.0, 11.0]",长春-南关区,民营公司,1000-5000人,['计算机软件'],"['五险一金', '补充医疗保险', '交通补贴', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '定期体检']","""本科""",8.0,14.0,11.0
128,东盛营业员,吉林省雅丫麻辣哈哈食品有限公司,"[4.0, 5.0, 4.5]",长春-二道区,民营公司,50-150人,['快速消费品(食品、饮料、化妆品)'],"['包吃包住', '月薪3-4千', '每月带薪休假', '节假日福利']","""中专""",4.0,5.0,4.5
129,物业区域总经理（储备）,领悦物业服务集团有限公司,"[24.0, 30.0, 27.0]",异地招聘,民营公司,1000-5000人,"['物业管理', '商业中心']","['五险一金', '绩效奖金']","""大专""",24.0,30.0,27.0
130,行政主管,吉林省同心健康管理有限责任公司,"[6.0, 8.0, 7.0]",长春-南关区,民营公司,50-150人,"['医疗', '护理', '卫生']",['绩效奖金'],"""本科""",6.0,8.0,7.0
131,无线通信设计人员,吉林吉大通信设计院股份有限公司,"[5.0, 7.0, 6.0]",异地招聘,国企,1000-5000人,"['通信', '电信', '网络设备']","['五险一金', '专业培训', '通讯补贴', '定期体检']","""本科""",5.0,7.0,6.0
132,区域销售经理,烟台艾德康生物科技有限公司,"[7.0, 10.0, 8.5]",异地招聘,民营公司,150-500人,"['医疗设备', '器械']","['五险一金', '员工旅游', '交通补贴', '年终奖金', '绩效奖金', '出国机会', '专业培训', '通讯补贴', '定期体检']","""大专""",7.0,10.0,8.5
133,投资顾问,开源证券股份有限公司吉林分公司,"[7.0, 10.0, 8.5]",长春-南关区,国企,5000-10000人,"['金融', '投资', '证券']","['五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '定期体检']","""大专""",7.0,10.0,8.5
134,销售内勤（文员）,吉林省金泰化玻有限公司,"[4.0, 5.0, 4.5]",长春-绿园区,国企,150-500人,"['石油', '化工', '矿产', '地质']","['五险一金', '弹性工作', '带薪年假', '法定假日', '早八晚五']","""大专""",4.0,5.0,4.5
135,搜狗实习生营销顾问,搜狗网络服务中心,"[4.0, 12.0, 8.0]",长春-南关区,民营公司,50-150人,['计算机软件'],"['绩效奖金', '节日福利', '带薪年假', '人才推荐奖', '团建活动', '法定假日', '非法定假日', '国外旅游', '五险']","""大专""",4.0,12.0,8.0
136,仪器校准工程师（长春）,东莞市帝恩检测有限公司,"[5.0, 7.0, 6.0]",异地招聘,民营公司,150-500人,['检测，认证'],"['员工旅游', '交通补贴', '专业培训', '绩效奖金', '五险', '周末双休']","""大专""",5.0,7.0,6.0
137,财务岗（长春）,安佑生物科技集团股份有限公司,"[5.0, 7.0, 6.0]",长春,民营公司,,"['农', '林', '牧', '渔']",[''],"""本科""",5.0,7.0,6.0
138,店员,吉林省华硒堂生物科技有限公司,"[4.0, 5.0, 4.5]",长春-宽城区,民营公司,少于50人,['生活服务'],[''],"""中专""",4.0,5.0,4.5
139,营业担当,阿尔卑斯（中国）有限公司,"[6.0, 8.0, 7.0]",长春-朝阳区,外资（非欧美）,500-1000人,"['电子技术', '半导体', '集成电路']","['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '专业培训', '出国机会', '年终奖金', '定期体检', '补充医疗保险']","""本科""",6.0,8.0,7.0
140,销售岗-2021届校招(J11802),上海高顿企业管理咨询有限公司,"[7.0, 12.0, 9.5]",异地招聘,民营公司,1000-5000人,['专业服务(咨询、人力资源、财会)'],"['带薪年假', '五险一金', '节日福利', '专业培训', '绩效奖金']","""本科""",7.0,12.0,9.5
141,营销特训生（管培生）（长春）,广联达科技股份有限公司,"[12.0, 18.0, 15.0]",长春,合资,,"['互联网', '电子商务']",[''],"""本科""",12.0,18.0,15.0
142,工程管理岗（长春）,广东龙光集团物业管理有限公司深圳分公司,"[7.0, 10.0, 8.5]",长春,民营公司,,"['物业管理', '商业中心']",[''],"""本科""",7.0,10.0,8.5
143,接线员,长春香格里拉大酒店有限公司,"[4.0, 5.0, 4.5]",长春-朝阳区,外资（非欧美）,150-500人,"['酒店', '旅游']",[''],"""大专""",4.0,5.0,4.5
144,实习文员（长春）,安费诺金事达电子系统（白城）有限公司,"[4.0, 5.0, 4.5]",长春,外资（欧美）,,['汽车零配件'],[''],"""本科""",4.0,5.0,4.5
145,数据库运维工程师（长春）,云和恩墨（北京）信息技术有限公司,"[7.0, 10.0, 8.5]",长春,民营公司,,['计算机服务(系统、数据服务、维修)'],[''],"""本科""",7.0,10.0,8.5
146,医疗部销售代表,波洱化工贸易（上海）有限公司,"[7.0, 10.0, 8.5]",长春-朝阳区,外资（欧美）,50-150人,"['贸易', '进出口']",['高温补贴'],"""大专""",7.0,10.0,8.5
147,生产主管,上海福尔欣线缆有限公司,"[6.0, 10.0, 8.0]",长春-经济技术开发区,民营公司,150-500人,['汽车'],"['带薪年假', '五险一金', '免费班车', '全勤奖', '节日福利', '包吃', '高温补贴']","""大专""",6.0,10.0,8.0
148,设备工程师,长春长光圆辰微电子技术有限公司,"[5.0, 7.0, 6.0]",长春-经济技术开发区,国企,50-150人,"['电子技术', '半导体', '集成电路']","['五险一金', '餐饮补贴', '定期体检', '节日福利', '生日福利', '带薪假期', '绩效奖金', '年终奖金', '采暖补贴', '工龄工资']","""本科""",5.0,7.0,6.0
149,实习生（有留用机会）,上海邦盟成套电气有限公司,"[2.0, 5.0, 3.5]",长春-经济技术开发区,合资,50-150人,['检测，认证'],"['五险一金', '免费班车', '绩效奖金', '做五休二', '周末双休', '节日福利']","""中专""",2.0,5.0,3.5
150,K12教育行业前端销售,上海轻轻信息科技有限公司,"[11.0, 14.0, 12.5]",长春-朝阳区,民营公司,1000-5000人,"['教育', '培训', '院校']","['五险一金', '绩效奖金', '员工旅游', '弹性工作']","""大专""",11.0,14.0,12.5
151,热成型模具工程师,长春华翔轿车消声器有限责任公司,"[10.0, 14.0, 12.0]",长春-朝阳区,民营公司,1000-5000人,['汽车'],"['五险一金', '免费班车', '餐饮补贴', '绩效奖金', '年终奖金', '定期体检']","""本科""",10.0,14.0,12.0
152,维修技师,深圳市好家庭实业有限公司,"[4.0, 6.0, 5.0]",长春-南关区,民营公司,500-1000人,"['娱乐', '休闲', '体育']","['绩效奖金', '年终奖金', '五险一金', '专业培训']","""中专""",4.0,6.0,5.0
153,医疗软件实施工程师,吉林省博思金财科技有限公司,"[5.0, 7.0, 6.0]",长春-南关区,上市公司,1000-5000人,['计算机软件'],"['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金']","""本科""",5.0,7.0,6.0
154,销售代表（长春）,盈可泰（北京）农业技术有限公司,"[12.0, 18.0, 15.0]",长春,民营公司,,['多元化业务集团公司'],[''],"""本科""",12.0,18.0,15.0
155,2020届教师管培生（长春）,北京市海淀区精华培训学校,"[10.0, 12.0, 11.0]",长春,民营公司,,"['教育', '培训', '院校']",[''],"""本科""",10.0,12.0,11.0
156,国际项目招生总监,上海慧悦管理咨询有限公司,"[10.0, 18.0, 14.0]",异地招聘,民营公司,少于50人,"['教育', '培训', '院校']",[''],"""大专""",10.0,18.0,14.0
157,销售主管（生物）-长春,北京西美杰科技有限公司,"[10.0, 30.0, 20.0]",长春,民营公司,50-150人,"['制药', '生物工程']","['五险一金', '餐饮补贴', '定期体检', '通讯补贴', '专业培训', '员工旅游', '交通补贴', '绩效奖金', '年终奖金']","""本科""",10.0,30.0,20.0
158,招商经理,江苏九旭药业有限公司,"[6.0, 17.0, 11.5]",异地招聘,民营公司,500-1000人,"['制药', '生物工程']","['五险一金', '员工旅游', '餐饮补贴', '定期体检', '年终奖金']","""大专""",6.0,17.0,11.5
159,幕墙项目经理,深圳鸿图建工有限公司,"[20.0, 30.0, 25.0]",长春-南关区,民营公司,150-500人,"['建筑', '建材', '工程']","['带薪年假', '五险一金', '包住宿', '绩效奖金', '节日福利', '专业培训', '餐饮补贴', '高温补贴', '员工旅游', '定期体检']","""大专""",20.0,30.0,25.0
160,货运司机,吉林省玩立方动漫文化发展有限公司,"[4.0, 6.0, 5.0]",长春,民营公司,50-150人,['快速消费品(食品、饮料、化妆品)'],"['员工旅游', '餐饮补贴', '绩效奖金']","""1年经验""",4.0,6.0,5.0
161,质量验收员,吉林省薪侨药业有限公司,"[2.0, 4.0, 3.0]",长春-南关区,民营公司,50-150人,"['批发', '零售']","['员工旅游', '供午餐']","""大专""",2.0,4.0,3.0
162,销售工程师（东北）,上海宝亚安全装备股份有限公司,"[6.0, 10.0, 8.0]",异地招聘,民营公司,50-150人,"['机械', '设备', '重工']","['五险一金', '绩效奖金', '通讯补贴', '餐饮补贴', '股票期权', '定期体检', '专业培训']",[''],6.0,10.0,8.0
163,设备维修电工,长春长光宇航复合材料有限公司,"[5.0, 7.0, 6.0]",长春-高新技术产业开发区,民营公司,150-500人,"['航天', '航空']","['免费班车', '五险一金', '节日福利', '交通补贴', '通讯补贴', '定期体检', '年底奖金']","""中技""",5.0,7.0,6.0
164,省区招商经理（吉林）,山西德元堂药业有限公司,"[12.0, 18.0, 15.0]",长春,民营公司,500-1000人,"['制药', '生物工程']",[''],"""大专""",12.0,18.0,15.0
165,版图设计,长春长光辰芯光电技术有限公司,"[7.0, 10.0, 8.5]",长春-经济技术开发区,民营公司,150-500人,"['电子技术', '半导体', '集成电路']","['五险一金', '定期体检', '员工旅游']","""本科""",7.0,10.0,8.5
166,软件实施工程师,东方永德软件（北京）有限公司,"[5.0, 10.0, 7.5]",长春-南关区,民营公司,50-150人,['计算机软件'],"['五险一金', '餐饮补贴', '绩效奖金', '年终奖金', '定期体检']","""大专""",5.0,10.0,7.5
167,市场活动专员,雅马哈音乐中心,"[4.0, 7.0, 5.5]",长春-朝阳区,合资,150-500人,"['教育', '培训', '院校']","['专业培训', '绩效奖金', '缴纳五险']","""大专""",4.0,7.0,5.5
168,弱电施工,长春市宇瞳科技有限公司,"[5.0, 7.0, 6.0]",长春-绿园区,民营公司,,['计算机软件'],[''],"""高中""",5.0,7.0,6.0
169,期货操盘手（底薪制）,杭州柒方网络科技有限公司,"[10.0, 12.0, 11.0]",异地招聘,民营公司,50-150人,['计算机软件'],[''],"""2年经验""",10.0,12.0,11.0
170,酒店集团房务总监、康乐总监 、营销总监 、OTA经理,上海天延企业管理咨询有限公司,"[36.0, 48.0, 42.0]",长春,民营公司,50-150人,['专业服务(咨询、人力资源、财会)'],"['五险一金', '弹性工作', '加班补贴', '住房补贴', '绩效奖金', '餐饮补贴', '做五休二', '专业培训', '周末双休']","""大专""",36.0,48.0,42.0
171,区域服务经理（全国）,一汽凌源汽车制造有限公司,"[7.0, 8.0, 7.5]",异地招聘,民营公司,1000-5000人,['汽车'],"['五险一金', '免费班车', '通讯补贴']","""3-4年经验""",7.0,8.0,7.5
172,销售主管\区域主管\城市主管,四川好彩头实业股份有限公司,"[7.0, 10.0, 8.5]",异地招聘,民营公司,1000-5000人,['快速消费品(食品、饮料、化妆品)'],"['通讯补贴', '绩效奖金', '餐饮补贴', '满勤奖', '年休假', '专业培训', '员工旅游']","""大专""",7.0,10.0,8.5
173,项目执行（外勤）,“前程无忧”51job.com（长春）,"[5.0, 7.0, 6.0]",长春,外资（非欧美）,50-150人,"['互联网', '电子商务']","['周末双休', '五险一金', '补充医疗保险', '绩效奖金', '年终奖金', '定期体检', '带薪年假', '带薪病假', '交通补贴', '通讯补贴']","""大专""",5.0,7.0,6.0
174,销售代表,斯想医疗科技（杭州）有限公司,"[7.0, 10.0, 8.5]",长春-朝阳区,民营公司,50-150人,"['制药', '生物工程']",[''],"""大专""",7.0,10.0,8.5
175,赴日建筑CAD制图正社员,大连新世界境外就业服务有限公司,"[14.0, 19.0, 16.5]",异地招聘,民营公司,少于50人,['中介服务'],"['五险一金', '补充医疗保险', '补充公积金', '出国机会', '通讯补贴', '餐饮补贴', '交通补贴', '绩效奖金']","""大专""",14.0,19.0,16.5
176,工程销售经理,深圳市第一企业管理咨询有限公司,"[12.0, 18.0, 15.0]",长春,民营公司,少于50人,['网络游戏'],"['员工旅游', '餐饮补贴', '专业培训', '出国机会', '年终奖金', '绩效奖金']","""高中""",12.0,18.0,15.0
177,文字编辑写作,珲春市卓越文学创作服务中心,"[4.0, 5.0, 4.5]",异地招聘,民营公司,少于50人,"['文字媒体', '出版']",[''],"""大专""",4.0,5.0,4.5
178,销售负责人（有趣的营销工具）,宁波云中慧眼智能科技有限公司,"[15.0, 20.0, 17.5]",异地招聘,民营公司,少于50人,"['互联网', '电子商务']","['五险一金', '弹性工作', '专业培训', '绩效奖金', '年终奖金', '交通补贴', '餐饮补贴', '通讯补贴', '补充公积金', '出国机会']","""3-4年经验""",15.0,20.0,17.5
179,智能环控运营岗,吉林农安牧原农牧有限公司,"[10.0, 12.0, 11.0]",长春-农安县,上市公司,10000人以上,"['农', '林', '牧', '渔']","['绩效奖金', '交通补助', '弹性工作', '领导好', '扁平管理', '上市公司', '五险一金', '节日礼物', '子女福利', '包吃包住']","""大专""",10.0,12.0,11.0
180,销售实习生,大连凯美化工工程配套有限公司,"[2.0, 10.0, 6.0]",长春-高新技术产业开发区,民营公司,少于50人,"['贸易', '进出口']","['五险一金', '带薪年假', '绩效奖金', '全勤奖', '交通补贴', '通讯补贴', '餐饮补贴']","""大专""",2.0,10.0,6.0
181,Java开发工程师,南京烽火星空通信发展有限公司,"[10.0, 19.0, 14.5]",长春,国企,1000-5000人,['计算机软件'],"['五险一金', '补充医疗保险', '餐饮补贴', '交通补贴', '年底双薪', '定期体检', '节日福利', '带薪年假']","""本科""",10.0,19.0,14.5
182,消杀技术服务副主管（长春）,厦门净邦生物科技有限公司,"[4.0, 6.0, 5.0]",长春,民营公司,50-150人,['外包服务'],"['五险一金', '交通补贴', '弹性工作', '年终奖金', '虫害培训', '做五休二', '团体险', '燃油津贴', '高温补贴', '周末双休']","""中专""",4.0,6.0,5.0
183,机械工程师,长春市布拉泽医疗科技有限公司,"[4.0, 5.0, 4.5]",长春-宽城区,民营公司,50-150人,"['医疗设备', '器械']","['五险一金', '免费班车', '员工旅游', '餐饮补贴', '专业培训', '定期体检']","""本科""",4.0,5.0,4.5
184,销售经理,上海卓越睿新数码科技有限公司,"[6.0, 11.0, 8.5]",长春,民营公司,1000-5000人,"['互联网', '电子商务']","['五险一金', '补充医疗保险', '交通补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检']","""本科""",6.0,11.0,8.5
185,医药信息顾问（长春肿瘤线）,江苏豪森药业集团有限公司—营销事业部,"[12.0, 18.0, 15.0]",长春-朝阳区,民营公司,10000人以上,"['制药', '生物工程']","['五险一金', '交通补贴', '餐饮补贴', '定期体检', '专业培训', '绩效奖金', '补充医疗保险']","""大专""",12.0,18.0,15.0
