岗位,公司,薪资,位置,公司性质,规模,工作领域,福利,学历,最低薪资,最高薪资,平均薪资
综合开拓专员,太平养老保险股份有限公司黑龙江分公司,"[7.0, 10.0, 8.5]",哈尔滨-道里区,国企,50-150人,['保险'],"['五险一金', '补充医疗保险', '交通补贴', '餐饮补贴', '通讯补贴', '年终奖金', '定期体检']",[''],7.0,10.0,8.5
人力资源经理,哈尔滨秋林里道斯经贸有限责任公司,"[7.0, 10.0, 8.5]",哈尔滨-阿城区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车']","""本科""",7.0,10.0,8.5
银行客服\行政班,四川泰盈科技有限公司,"[4.0, 12.0, 8.0]",哈尔滨-南岗区,民营公司,10000人以上,"['互联网', '电子商务']","['五险一金', '绩效奖金', '全勤奖', '节日福利', '带薪年假', '专业培训', '免费午餐']","""大专""",4.0,12.0,8.0
银行客服坐席,四川泰盈科技有限公司,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,10000人以上,"['互联网', '电子商务']","['五险一金', '绩效奖金', '全勤奖', '节日福利', '带薪年假', '专业培训', '免费午餐']","""大专""",5.0,7.0,6.0
灯光师,哈尔滨秋林里道斯经贸有限责任公司,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""大专""",5.0,7.0,6.0
市场文案策划,哈尔滨秋林里道斯经贸有限责任公司,"[7.0, 12.0, 9.5]",哈尔滨-南岗区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""大专""",7.0,12.0,9.5
美工,哈尔滨秋林里道斯经贸有限责任公司,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""大专""",5.0,7.0,6.0
销售会计,哈尔滨秋林里道斯经贸有限责任公司,"[5.0, 7.0, 6.0]",哈尔滨-阿城区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""本科""",5.0,7.0,6.0
核算员,哈尔滨秋林里道斯经贸有限责任公司,"[2.0, 5.0, 3.5]",哈尔滨-阿城区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""本科""",2.0,5.0,3.5
短视频文案,哈尔滨秋林里道斯经贸有限责任公司,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""本科""",7.0,10.0,8.5
出纳员,哈尔滨秋林里道斯经贸有限责任公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""本科""",4.0,5.0,4.5
门店营业员,哈尔滨秋林里道斯经贸有限责任公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""大专""",4.0,5.0,4.5
采购员,哈尔滨秋林里道斯经贸有限责任公司,"[4.0, 6.0, 5.0]",哈尔滨-阿城区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""大专""",4.0,6.0,5.0
招聘专员,哈尔滨秋林里道斯经贸有限责任公司,"[4.0, 6.0, 5.0]",哈尔滨-阿城区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['免费班车', '五险', '餐饮补贴', '交通补贴', '通讯补贴', '定期体检']","""本科""",4.0,6.0,5.0
财务主管,哈尔滨秋林里道斯经贸有限责任公司,"[7.0, 10.0, 8.5]",哈尔滨-阿城区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['免费班车', '五险', '餐饮补贴', '交通补贴', '通讯补贴', '定期体检']","""大专""",7.0,10.0,8.5
淘宝推广专员,哈尔滨秋林里道斯经贸有限责任公司,"[5.0, 7.0, 6.0]",哈尔滨-阿城区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车']","""大专""",5.0,7.0,6.0
电商会计,哈尔滨秋林里道斯经贸有限责任公司,"[5.0, 7.0, 6.0]",哈尔滨-阿城区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车']","""大专""",5.0,7.0,6.0
社保专员,哈尔滨秋林里道斯经贸有限责任公司,"[4.0, 5.0, 4.5]",哈尔滨-阿城区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车']","""大专""",4.0,5.0,4.5
薪酬专员,哈尔滨秋林里道斯经贸有限责任公司,"[4.0, 5.0, 4.5]",哈尔滨-阿城区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车']","""大专""",4.0,5.0,4.5
内审专员（业务方向）,哈尔滨秋林里道斯经贸有限责任公司,"[5.0, 10.0, 7.5]",哈尔滨-阿城区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['免费班车', '通讯补贴', '绩效奖金', '年终奖金', '定期体检', '交通补贴', '餐饮补贴', '十三薪']","""本科""",5.0,10.0,7.5
内审专员（财务方向）,哈尔滨秋林里道斯经贸有限责任公司,"[5.0, 7.0, 6.0]",哈尔滨-阿城区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['免费班车', '通讯补贴', '绩效奖金', '年终奖金', '定期体检', '交通补贴', '餐饮补贴', '十三薪']","""本科""",5.0,7.0,6.0
税务会计,哈尔滨秋林里道斯经贸有限责任公司,"[5.0, 7.0, 6.0]",哈尔滨-阿城区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['免费班车', '专业培训', '通讯补贴', '五险', '十三薪', '餐饮补贴', '交通补贴', '高温补贴']","""大专""",5.0,7.0,6.0
电商操作员,哈尔滨秋林里道斯经贸有限责任公司,"[2.0, 5.0, 3.5]",哈尔滨-阿城区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""大专""",2.0,5.0,3.5
电商打包操作工,哈尔滨秋林里道斯经贸有限责任公司,"[2.0, 5.0, 3.5]",哈尔滨-南岗区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""1年经验""",2.0,5.0,3.5
总经理助理,哈尔滨秋林里道斯经贸有限责任公司,"[10.0, 14.0, 12.0]",哈尔滨-南岗区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""本科""",10.0,14.0,12.0
总经理司机,哈尔滨秋林里道斯经贸有限责任公司,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""大专""",5.0,7.0,6.0
平面设计专员,哈尔滨秋林里道斯经贸有限责任公司,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""大专""",5.0,7.0,6.0
电商客服,哈尔滨秋林里道斯经贸有限责任公司,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""本科""",5.0,7.0,6.0
电商运营,哈尔滨秋林里道斯经贸有限责任公司,"[6.0, 10.0, 8.0]",哈尔滨-南岗区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""大专""",6.0,10.0,8.0
摄影师,哈尔滨秋林里道斯经贸有限责任公司,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""大专""",5.0,7.0,6.0
管理培训生,哈尔滨秋林里道斯经贸有限责任公司,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""本科""",5.0,7.0,6.0
插画师,哈尔滨秋林里道斯经贸有限责任公司,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '免费班车', '专业培训', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']","""大专""",7.0,10.0,8.5
餐厅员工 (MJ034399),麦当劳,"[1.0, 2.0, 1.5]",哈尔滨-香坊区,合资,1000-5000人,['餐饮业'],"['弹性工作', '餐饮补贴', '加班补贴', '节日福利', '专业培训']","""高中""",1.0,2.0,1.5
五险一金内勤,顺泽米业有限公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,50-150人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '员工旅游', '通讯补贴', '交通补贴', '餐饮补贴', '绩效奖金']","""大专""",4.0,5.0,4.5
分销代表,云南三七科技药业有限公司,"[10.0, 16.0, 13.0]",异地招聘,国企,500-1000人,"['制药', '生物工程']","['五险一金', '绩效奖金', '专业培训', '通讯补贴']","""大专""",10.0,16.0,13.0
商务专员,云南三七科技药业有限公司,"[10.0, 16.0, 13.0]",异地招聘,国企,500-1000人,"['制药', '生物工程']","['五险一金', '通讯补贴', '包中饭', '朝九晚五', '定期体检', '年终奖金']","""大专""",10.0,16.0,13.0
餐厅员工 (MJ034387),麦当劳,"[1.0, 2.0, 1.5]",哈尔滨-松北区,合资,1000-5000人,['餐饮业'],"['弹性工作', '餐饮补贴', '加班补贴', '节日福利', '专业培训']","""中专""",1.0,2.0,1.5
餐厅员工 (MJ034410),麦当劳,"[1.0, 2.0, 1.5]",哈尔滨-松北区,合资,1000-5000人,['餐饮业'],"['专业培训', '五险一金', '带薪年假']","""高中""",1.0,2.0,1.5
餐厅员工 (MJ034418),麦当劳,"[1.0, 2.0, 1.5]",哈尔滨-道里区,合资,1000-5000人,['餐饮业'],"['弹性工作', '餐饮补贴', '加班补贴', '节日福利', '专业培训']","""高中""",1.0,2.0,1.5
磨工,哈尔滨精达测量仪器有限公司,"[4.0, 6.0, 5.0]",哈尔滨,民营公司,50-150人,"['机械', '设备', '重工']","['五险一金', '免费班车', '餐饮补贴', '专业培训', '绩效奖金']","""大专""",4.0,6.0,5.0
国际业务拓展专员,黑龙江顺丰速运有限公司,"[5.0, 6.0, 5.5]",哈尔滨-香坊区,上市公司,5000-10000人,"['交通', '运输', '物流']","['绩效奖金', '做五休二', '弹性工作', '社保五险', '节日福利']","""本科""",5.0,6.0,5.5
（快运）储备网点负责人,黑龙江顺丰速运有限公司,"[5.0, 7.0, 6.0]",哈尔滨-香坊区,上市公司,5000-10000人,"['交通', '运输', '物流']","['五险一金', '绩效奖金', '年终奖金', '弹性工作']","""本科""",5.0,7.0,6.0
金融保险行业项目负责人,黑龙江顺丰速运有限公司,"[22.0, 36.0, 29.0]",哈尔滨-香坊区,上市公司,5000-10000人,"['交通', '运输', '物流']","['五险一金', '年终奖金', '绩效奖金', '带薪年假', '定期体检', '交通补贴', '餐饮补贴', '通讯补贴', '员工旅游', '节日福利']","""本科""",22.0,36.0,29.0
酒类快消品行业销售专员,黑龙江顺丰速运有限公司,"[22.0, 36.0, 29.0]",哈尔滨-香坊区,上市公司,5000-10000人,"['交通', '运输', '物流']","['五险一金', '带薪年假', '节日福利', '年终奖金', '弹性工作']","""本科""",22.0,36.0,29.0
大客户助理,黑龙江省华测检测技术有限公司,"[6.0, 10.0, 8.0]",哈尔滨,民营公司,150-500人,['检测，认证'],"['周末双休', '带薪年假', '五险一金', '绩效奖金', '节日福利', '专业培训', '餐饮补贴', '加班补贴', '住房补贴', '年底双薪']","""本科""",6.0,10.0,8.0
实习销售助理,黑龙江省华测检测技术有限公司,"[2.0, 5.0, 3.5]",哈尔滨,民营公司,150-500人,['检测，认证'],[''],"""大专""",2.0,5.0,3.5
常规检测员,黑龙江省华测检测技术有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,150-500人,['检测，认证'],"['周末双休', '带薪年假', '五险一金', '绩效奖金', '节日福利', '交通补贴', '加班补贴', '住房补贴', '通讯补贴', '十三薪']","""本科""",5.0,7.0,6.0
液质、液相检测工程师,黑龙江省华测检测技术有限公司,"[5.0, 10.0, 7.5]",哈尔滨,民营公司,150-500人,['检测，认证'],"['五险一金', '通讯补贴', '餐饮补贴', '周末双休', '国家法定假', '年终奖金', '定期体检', '绩效奖金']","""本科""",5.0,10.0,7.5
办公室文员,黑龙江玖京影视传媒有限公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,少于50人,"['影视', '媒体', '艺术', '文化传播']",[''],"""大专""",4.0,5.0,4.5
高级销售工程师,黑龙江省华测检测技术有限公司,"[10.0, 18.0, 14.0]",哈尔滨,民营公司,150-500人,['检测，认证'],"['周末双休', '带薪年假', '五险一金', '绩效奖金', '节日福利', '加班补贴', '住房补贴', '通讯补贴', '十三薪', '餐饮补贴']","""本科""",10.0,18.0,14.0
行业开发经理,黑龙江省华测检测技术有限公司,"[10.0, 18.0, 14.0]",哈尔滨,民营公司,150-500人,['检测，认证'],"['周末双休', '带薪年假', '五险一金', '绩效奖金', '节日福利', '加班补贴', '住房补贴', '通讯补贴', '十三薪', '餐饮补贴']","""本科""",10.0,18.0,14.0
销售工程师,黑龙江省华测检测技术有限公司,"[4.0, 7.0, 5.5]",哈尔滨,民营公司,150-500人,['检测，认证'],"['周末双休', '带薪年假', '五险一金', '绩效奖金', '节日福利', '加班补贴', '住房补贴', '通讯补贴', '十三薪', '餐饮补贴']","""本科""",4.0,7.0,5.5
大客户经理,黑龙江省华测检测技术有限公司,"[5.0, 8.0, 6.5]",哈尔滨,民营公司,150-500人,['检测，认证'],"['周末双休', '带薪年假', '五险一金', '绩效奖金', '节日福利', '加班补贴', '住房补贴', '通讯补贴', '十三薪', '餐饮补贴']","""本科""",5.0,8.0,6.5
商务专员,黑龙江玖京影视传媒有限公司,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,少于50人,"['影视', '媒体', '艺术', '文化传播']",[''],"""大专""",7.0,10.0,8.5
人事行政专员,黑龙江玖京影视传媒有限公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,少于50人,"['影视', '媒体', '艺术', '文化传播']",[''],"""大专""",4.0,5.0,4.5
3D设计师,黑龙江新洋科技有限公司,"[5.0, 7.0, 6.0]",哈尔滨-平房区,民营公司,50-150人,"['影视', '媒体', '艺术', '文化传播']","['五险', '周末双休', '早九晚五']","""大专""",5.0,7.0,6.0
名表销售顾问 —哈尔滨银泰,深圳市亨吉利世界名表中心有限公司,"[4.0, 6.0, 5.0]",哈尔滨-道里区,国企,1000-5000人,"['奢侈品', '收藏品', '工艺品', '珠宝']","['带薪年假', '五险一金', '年终奖金', '员工旅游', '节日津贴', '绩效奖金', '国有企业', '上市公司', '高端商圈', '氛围轻松']","""中专""",4.0,6.0,5.0
中交二航局三公司2021年校园招聘专岗,中交二航局第三工程有限公司,"[10.0, 12.0, 11.0]",哈尔滨,国企,1000-5000人,"['建筑', '建材', '工程']",[''],"""本科""",10.0,12.0,11.0
少儿英语老师,想象力教育科技有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,500-1000人,"['教育', '培训', '院校']","['五险一金', '交通补贴', '专业培训', '员工旅游', '出国机会', '年终奖金', '绩效奖金', '餐饮补贴']","""大专""",5.0,7.0,6.0
英语老师,想象力教育科技有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,500-1000人,"['教育', '培训', '院校']","['五险一金', '员工旅游', '专业培训', '出国机会', '年终奖金', '绩效奖金', '弹性工作']","""大专""",5.0,7.0,6.0
课程顾问,想象力教育科技有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,500-1000人,"['教育', '培训', '院校']","['专业培训', '绩效奖金', '弹性工作', '五险']","""大专""",5.0,7.0,6.0
女科医生（生殖）,蕴生达生物技术有限公司,"[12.0, 18.0, 15.0]",哈尔滨-道里区,民营公司,50-150人,"['医疗', '护理', '卫生']","['五险一金', '餐饮补贴']","""硕士""",12.0,18.0,15.0
市场助理,黑龙江玖京影视传媒有限公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,少于50人,"['影视', '媒体', '艺术', '文化传播']",[''],"""中专""",4.0,5.0,4.5
市场营销经理,黑龙江玖京影视传媒有限公司,"[12.0, 18.0, 15.0]",哈尔滨-南岗区,民营公司,少于50人,"['影视', '媒体', '艺术', '文化传播']",[''],"""大专""",12.0,18.0,15.0
市场营销专员,黑龙江玖京影视传媒有限公司,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,少于50人,"['影视', '媒体', '艺术', '文化传播']",[''],"""大专""",5.0,7.0,6.0
市场专员,黑龙江玖京影视传媒有限公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,少于50人,"['影视', '媒体', '艺术', '文化传播']",[''],"""大专""",4.0,5.0,4.5
市场主管,黑龙江玖京影视传媒有限公司,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,少于50人,"['影视', '媒体', '艺术', '文化传播']",[''],"""大专""",5.0,7.0,6.0
自动化工程师,哈尔滨联创盛天科技开发有限公司,"[5.0, 7.0, 6.0]",哈尔滨-香坊区,民营公司,少于50人,"['仪器仪表', '工业自动化']",[''],"""本科""",5.0,7.0,6.0
电子处方平台销售,黑龙江省紫光众兴医药有限公司,"[2.0, 5.0, 3.5]",哈尔滨,民营公司,少于50人,"['制药', '生物工程']","['员工旅游', '交通补贴', '餐饮补贴', '通讯补贴']","""本科""",2.0,5.0,3.5
前台接待,黑龙江省新视角数码印章有限公司,"[2.0, 4.0, 3.0]",哈尔滨-道里区,民营公司,少于50人,['生活服务'],[''],"""高中""",2.0,4.0,3.0
事业合伙人,哈尔滨大道致远营销策划有限责任公司,"[7.0, 10.0, 8.5]",哈尔滨-道里区,民营公司,少于50人,['广告'],"['五险', '佣金', '餐补', '带薪年假', '节假日休息']","""大专""",7.0,10.0,8.5
总经理助理兼业务,黑龙江省紫光众兴医药有限公司,"[2.0, 5.0, 3.5]",哈尔滨,民营公司,少于50人,"['制药', '生物工程']","['员工旅游', '交通补贴', '餐饮补贴', '通讯补贴']","""本科""",2.0,5.0,3.5
安松街门店前台店长,黑龙江省新视角数码印章有限公司,"[2.0, 4.0, 3.0]",哈尔滨-道里区,民营公司,少于50人,['生活服务'],"['弹性工作', '带薪年假', '绩效奖金', '全勤奖', '节日福利', '专业培训']","""无需经验""",2.0,4.0,3.0
前台接待,黑龙江省新视角数码印章有限公司,"[2.0, 4.0, 3.0]",哈尔滨-南岗区,民营公司,少于50人,['生活服务'],[''],"""高中""",2.0,4.0,3.0
前台接待,黑龙江省新视角数码印章有限公司,"[2.0, 4.0, 3.0]",哈尔滨-道里区,民营公司,少于50人,['生活服务'],"['弹性工作', '带薪年假', '绩效奖金', '全勤奖', '节日福利', '专业培训']","""无需经验""",2.0,4.0,3.0
电子处方平台销售代表,黑龙江省紫光众兴医药有限公司,"[2.0, 5.0, 3.5]",哈尔滨,民营公司,少于50人,"['制药', '生物工程']","['员工旅游', '交通补贴', '餐饮补贴', '通讯补贴']","""本科""",2.0,5.0,3.5
电子处方平台业务员,黑龙江省紫光众兴医药有限公司,"[2.0, 5.0, 3.5]",哈尔滨,民营公司,少于50人,"['制药', '生物工程']","['员工旅游', '交通补贴', '餐饮补贴', '通讯补贴']","""本科""",2.0,5.0,3.5
城市经理,云南三七科技药业有限公司,"[8.0, 20.0, 14.0]",哈尔滨-道里区,国企,500-1000人,"['制药', '生物工程']","['五险一金', '绩效奖金', '通讯补贴', '专业培训', '交通补贴']","""大专""",8.0,20.0,14.0
会计,哈尔滨格领科技有限公司,"[5.0, 7.0, 6.0]",哈尔滨-平房区,民营公司,50-150人,"['机械', '设备', '重工']","['免费班车', '员工旅游', '专业培训', '绩效奖金', '五险一金', '交通补贴', '餐饮补贴']","""大专""",5.0,7.0,6.0
应用软件工程师,哈尔滨哈船特装科技发展有限公司,"[5.0, 8.0, 6.5]",哈尔滨,民营公司,少于50人,"['学术', '科研']","['年终奖金', '五险一金', '专业培训', '员工旅游', '绩效奖金', '交通补贴', '餐饮补贴', '通讯补贴']","""本科""",5.0,8.0,6.5
运动规划与控制算法工程师,哈尔滨哈船特装科技发展有限公司,"[7.0, 9.0, 8.0]",异地招聘,民营公司,少于50人,"['学术', '科研']","['年终奖金', '五险一金', '专业培训', '员工旅游', '绩效奖金', '交通补贴', '餐饮补贴', '通讯补贴']","""本科""",7.0,9.0,8.0
董事长秘书,春夏秋冬投资集团有限公司,"[5.0, 7.0, 6.0]",哈尔滨-道里区,民营公司,50-150人,"['金融', '投资', '证券']","['做五休二', '周末双休', '带薪年假', '五险一金', '节日福利', '餐饮补贴']","""硕士""",5.0,7.0,6.0
产品质检员,哈尔滨扬威石材有限公司,"[4.0, 7.0, 5.5]",哈尔滨,外资（非欧美）,50-150人,"['建筑', '建材', '工程']",[''],"""大专""",4.0,7.0,5.5
CAD技术员\拆单员,哈尔滨扬威石材有限公司,"[4.0, 12.0, 8.0]",哈尔滨-道里区,外资（非欧美）,50-150人,"['建筑', '建材', '工程']",[''],"""大专""",4.0,12.0,8.0
办公室电脑订单员,哈尔滨腾顺电子商务有限公司,"[4.0, 6.0, 5.0]",哈尔滨-南岗区,民营公司,50-150人,"['互联网', '电子商务']",['不加班'],"""高中""",4.0,6.0,5.0
区域销售经理,黑龙江棒博尔种业有限公司,"[4.0, 5.0, 4.5]",哈尔滨-平房区,民营公司,150-500人,"['农', '林', '牧', '渔']","['免费班车', '年终奖金', '五险', '免费午餐', '节日福利', '专业培训', '交通补贴']","""大专""",4.0,5.0,4.5
农业技术员,黑龙江棒博尔种业有限公司,"[4.0, 5.0, 4.5]",哈尔滨-平房区,民营公司,150-500人,"['农', '林', '牧', '渔']","['免费班车', '年终奖金', '五险', '免费午餐', '节日福利', '专业培训', '交通补贴']","""大专""",4.0,5.0,4.5
物流经理   五险一金,黑龙江华龙酒直达供应链管理股份有限公司,"[10.0, 12.0, 11.0]",哈尔滨-平房区,民营公司,50-150人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '弹性工作']","""大专""",10.0,12.0,11.0
技术经理,西安华欧精密机械有限责任公司,"[10.0, 14.0, 12.0]",异地招聘,民营公司,150-500人,"['机械', '设备', '重工']","['五险', '带薪年假', '绩效奖金', '商业保险', '年终奖金', '餐饮补贴']","""本科""",10.0,14.0,12.0
HRBP(哈尔滨）,众之闻汽车配件（广州）有限责任公司,"[15.0, 20.0, 17.5]",哈尔滨,民营公司,500-1000人,['汽车'],"['包住宿', '五险一金', '免费班车', '专业培训', '带薪年假', '绩效奖金', '全勤奖', '节日福利']",[''],15.0,20.0,17.5
人事专员,黑龙江省前程优选人力资源有限公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,500-1000人,['专业服务(咨询、人力资源、财会)'],[''],"""大专""",4.0,5.0,4.5
会计,哈尔滨朋奥体育产业有限公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,少于50人,"['娱乐', '休闲', '体育']",[''],"""大专""",4.0,5.0,4.5
前台客服,哈尔滨朋奥体育产业有限公司,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,少于50人,"['娱乐', '休闲', '体育']",[''],"""大专""",5.0,7.0,6.0
国企人事行政文员五险双休,中国人寿保险股份有限公司哈尔滨分公司第五营销服务部,"[5.0, 7.0, 6.0]",哈尔滨-道里区,民营公司,10000人以上,['保险'],[''],"""无需经验""",5.0,7.0,6.0
Purchasing Supervisor,哈尔滨温克豪斯五金销售有限公司,"[7.0, 11.0, 9.0]",哈尔滨-南岗区,合资,少于50人,"['建筑', '建材', '工程']","['五险一金', '绩效奖金', '年终奖金', '带薪年假', '节日福利', '员工旅游', '补充医疗保险', '餐饮补贴', '生日礼金']","""本科""",7.0,11.0,9.0
出纳员,黑龙江汇海资产评估房地产土地估价咨询有限公司,"[2.0, 4.0, 3.0]",哈尔滨-道里区,民营公司,少于50人,['房地产'],"['交通补贴', '餐饮补贴', '通讯补贴', '年终奖金']","""本科""",2.0,4.0,3.0
医药业务方案专员（医药销售）,黑龙江顺丰速运有限公司,"[22.0, 36.0, 29.0]",哈尔滨-香坊区,上市公司,5000-10000人,"['交通', '运输', '物流']","['五险一金', '绩效奖金', '年终奖金', '弹性工作']","""本科""",22.0,36.0,29.0
储备人资负责人,黑龙江顺丰速运有限公司,"[15.0, 20.0, 17.5]",哈尔滨-香坊区,上市公司,5000-10000人,"['交通', '运输', '物流']","['五险一金', '通讯补贴', '绩效奖金', '年终奖金', '弹性工作', '定期体检']","""本科""",15.0,20.0,17.5
文员（早8晚5，不加班，单休）,黑龙江省百佳鑫汽车销售有限公司,"[4.0, 5.0, 4.5]",哈尔滨-松北区,国企,少于50人,['汽车'],[''],"""大专""",4.0,5.0,4.5
化肥业务员,黑龙江宏深经贸有限公司,"[4.0, 18.0, 11.0]",哈尔滨-松北区,民营公司,少于50人,"['贸易', '进出口']","['周末双休', '五险一金', '节日福利', '免费午餐', '通讯补贴']","""大专""",4.0,18.0,11.0
煤炭业务员,黑龙江宏深经贸有限公司,"[4.0, 18.0, 11.0]",哈尔滨-松北区,民营公司,少于50人,"['贸易', '进出口']","['周末双休', '五险一金', '节日福利', '免费午餐', '通讯补贴']","""大专""",4.0,18.0,11.0
区域医学专员\经理,无锡臻和生物科技有限公司,"[18.0, 24.0, 21.0]",异地招聘,民营公司,500-1000人,"['制药', '生物工程']",[''],"""硕士""",18.0,24.0,21.0
景观设计总监\经理,哈尔滨融创奥城置业有限公司,"[24.0, 42.0, 33.0]",哈尔滨,民营公司,150-500人,['房地产'],[''],"""本科""",24.0,42.0,33.0
客户经理（汽车融资租赁）,创富融资租赁（上海）有限公司,"[8.0, 10.0, 9.0]",哈尔滨,外资（非欧美）,150-500人,"['金融', '投资', '证券']","['五险一金', '补充医疗保险', '补充公积金', '交通补贴', '餐饮补贴', '通讯补贴', '弹性工作', '绩效奖金', '定期体检']","""大专""",8.0,10.0,9.0
礼宾员,黑龙江未来置业铭诚房地产开发有限公司,"[6.0, 6.0, 6.0]",哈尔滨-道里区,民营公司,150-500人,['房地产'],"['餐饮补贴', '交通补贴', '通讯补贴', '年终奖金', '绩效奖金', '五险']","""大专""",6.0,6.0,6.0
