岗位,公司,薪资,位置,公司性质,规模,工作领域,福利,学历,最低薪资,最高薪资,平均薪资
初中物理老师\双休五险,五常市百川文化教育机构,"[8.0, 10.0, 9.0]",哈尔滨-南岗区,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '带薪年假', '提供食宿', '带薪培训', '满勤奖', '绩效奖金', '年终奖金', '子女免费入学', '员工旅游', '餐饮补助']","""本科""",8.0,10.0,9.0
校长\五险股份,五常市百川文化教育机构,"[10.0, 15.0, 12.5]",哈尔滨-五常市,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '带薪年假', '专业培训', '员工旅游', '绩效奖金', '年终奖金', '提供食宿', '子女免费入学', '股份']","""大专""",10.0,15.0,12.5
学习管理师\五险年假,五常市百川文化教育机构,"[7.0, 10.0, 8.5]",哈尔滨-五常市,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '带薪年假', '专业培训', '员工旅游', '绩效奖金', '年终奖金', '提供食宿', '子女免费入学', '弹性工作']","""大专""",7.0,10.0,8.5
学习管理师\五险年假5000+,五常市百川文化教育机构,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '带薪年假', '专业培训', '员工旅游', '绩效奖金', '年终奖金', '提供食宿', '子女免费入学', '弹性工作', '餐饮补贴']","""大专""",7.0,10.0,8.5
咨询师\五险年假5000+,五常市百川文化教育机构,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '带薪年假', '专业培训', '员工旅游', '绩效奖金', '年终奖金', '提供食宿', '子女免费入学', '弹性工作']","""大专""",7.0,10.0,8.5
高中英语老师\五险年假,五常市百川文化教育机构,"[8.0, 10.0, 9.0]",哈尔滨-五常市,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '提供食宿', '子女免费入学', '带薪培训', '员工旅游', '绩效奖金', '年终奖金', '餐饮补贴', '满勤奖', '带薪年假']","""大专""",8.0,10.0,9.0
英语老师\五险年假,五常市百川文化教育机构,"[8.0, 10.0, 9.0]",哈尔滨-五常市,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '提供食宿', '子女免费入学', '带薪培训', '员工旅游', '绩效奖金', '年终奖金', '带薪年假', '餐饮补贴', '满勤奖']","""大专""",8.0,10.0,9.0
小学英语老师\五险寒暑假,五常市百川文化教育机构,"[7.0, 10.0, 8.5]",哈尔滨-五常市,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '提供食宿', '子女免费入学', '带薪培训', '员工旅游', '绩效奖金', '年终奖金', '续班奖金', '课时奖金', '寒暑假']","""大专""",7.0,10.0,8.5
初中英语老师\双休五险,五常市百川文化教育机构,"[6.0, 8.0, 7.0]",哈尔滨-五常市,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '双休', '提供食宿', '子女免费入学', '带薪培训', '员工旅游', '绩效奖金', '年终奖金', '续班奖金', '课时奖金']","""大专""",6.0,8.0,7.0
高中英语老师\双休五险,五常市百川文化教育机构,"[8.0, 10.0, 9.0]",哈尔滨-五常市,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '双休', '提供食宿', '寒暑假', '子女免费入学', '带薪培训', '员工旅游', '绩效奖金', '年终奖金', '课时奖金']","""大专""",8.0,10.0,9.0
英语老师-五常\双休五险,五常市百川文化教育机构,"[7.0, 10.0, 8.5]",哈尔滨-五常市,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '双休', '提供食宿', '子女免费入学', '带薪培训', '员工旅游', '绩效奖金', '年终奖金', '课时奖金', '续班奖金']","""大专""",7.0,10.0,8.5
佳音英语教师\五险寒暑假,五常市百川文化教育机构,"[7.0, 10.0, 8.5]",哈尔滨-五常市,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '寒暑假', '提供食宿', '子女免费入学', '弹性工作', '专业培训', '员工旅游', '年终奖金']","""本科""",7.0,10.0,8.5
