运维工程师,吉林省联宇合达科技有限公司,4-6,长春-南关区,民营公司,150-500人,计算机软件,"['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '年终奖金', '定期体检']",['']
软件售前工程师,吉林省联宇合达科技有限公司,7-12,长春-南关区,民营公司,150-500人,计算机软件,"['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']",['']
售前工程师,吉林省联宇合达科技有限公司,7-12,长春-南关区,民营公司,150-500人,计算机软件,"['带薪年假', '五险一金', '绩效奖金', '交通补贴', '餐饮补贴', '通讯补贴']",['']
研发工程师（JAVA方向）,吉林省联宇合达科技有限公司,6-12,长春-南关区,民营公司,150-500人,计算机软件,"['五险一金', '员工旅游', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '定期体检', '交通补贴']",['']
销售助理,吉林省联宇合达科技有限公司,4-5,长春-南关区,民营公司,150-500人,计算机软件,"['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金']","""大专"""
吹塑、注塑工程师,吉林省富生医疗器械有限公司,5-10,长春-净月经济开发区,民营公司,150-500人,医疗设备\器械,"['五险一金', '员工旅游', '年终奖金', '专业培训', '免费班车', '周末双休', '带薪年假', '节日福利']","""本科"""
医疗器械区域销售--吉林,吉林省富生医疗器械有限公司,5-10,长春-净月经济开发区,民营公司,150-500人,医疗设备\器械,"['五险一金', '员工旅游', '年终奖金', '专业培训', '免费班车', '周末双休', '带薪年假', '节日福利']","""本科"""
操作工,吉林省富生医疗器械有限公司,5-7,长春-净月经济开发区,民营公司,150-500人,医疗设备\器械,"['五险一金', '员工旅游', '年终奖金', '专业培训', '免费班车', '周末双休', '带薪年假', '节日福利']","""高中"""
医疗器械销售,吉林省富生医疗器械有限公司,6-12,长春-净月经济开发区,民营公司,150-500人,医疗设备\器械,"['五险一金', '员工旅游', '交通补贴', '年终奖金', '专业培训']","""大专"""
外贸助理（可接受应届）,长春市英普磁电技术开发有限公司,5-7,长春-二道区,民营公司,50-150人,机械\设备\重工,"['五险一金', '周末双休', '全勤奖', '带薪年假', '免费班车', '加班补贴', '包吃', '绩效奖金']","""无需经验"""
审计专员,吉林中泰集团有限公司,4-8,长春-净月经济开发区,民营公司,50-150人,建筑\建材\工程,"['交通补贴', '餐饮补贴', '通讯补贴', '年终奖金', '全勤奖', '包吃', '包住宿']","""大专"""
综合部经理,吉林中泰集团有限公司,7-10,长春-净月经济开发区,民营公司,50-150人,建筑\建材\工程,"['交通补贴', '餐饮补贴', '通讯补贴', '年终奖金', '全勤奖', '包吃', '包住宿']","""大专"""
出纳员,吉林中泰集团有限公司,2-4,长春-净月经济开发区,民营公司,50-150人,建筑\建材\工程,[''],"""大专"""
仓库管理员,吉林中泰集团有限公司,3-5,长春-净月经济开发区,民营公司,50-150人,建筑\建材\工程,[''],"""高中"""
商务司机,吉林中泰集团有限公司,4-5,长春-净月经济开发区,民营公司,50-150人,建筑\建材\工程,[''],"""高中"""
采购内勤\外勤,吉林中泰集团有限公司,4-5,长春-净月经济开发区,民营公司,50-150人,建筑\建材\工程,[''],"""大专"""
建筑机电技术员,吉林中泰集团有限公司,4-10,长春-净月经济开发区,民营公司,50-150人,建筑\建材\工程,[''],"""大专"""
水暖技术员,吉林中泰集团有限公司,4-7,长春-净月经济开发区,民营公司,50-150人,建筑\建材\工程,[''],"""大专"""
土建技术员,吉林中泰集团有限公司,4-7,长春-净月经济开发区,民营公司,50-150人,建筑\建材\工程,[''],"""本科"""
综合部助理,吉林中泰集团有限公司,2-4,长春-净月经济开发区,民营公司,50-150人,建筑\建材\工程,[''],"""大专"""
会计,吉林中泰集团有限公司,4-5,长春-净月经济开发区,民营公司,50-150人,建筑\建材\工程,[''],"""大专"""
C++高级开发工程师,麦片科技（深圳）有限公司,13-19,长春-高新技术产业开发区,民营公司,少于50人,计算机软件,"['五险一金', '补充医疗保险', '绩效奖金', '年终奖金']","""本科"""
主播运营,吉广直播（吉林省）网络科技有限公司,5-6,长春-净月经济开发区,民营公司,50-150人,互联网\电子商务,[''],"""大专"""
后期摄像,吉广直播（吉林省）网络科技有限公司,6-7,长春-净月经济开发区,民营公司,50-150人,互联网\电子商务,[''],"""大专"""
编导,吉广直播（吉林省）网络科技有限公司,6-7,长春-净月经济开发区,民营公司,50-150人,互联网\电子商务,[''],"""大专"""
编剧,吉广直播（吉林省）网络科技有限公司,6-7,长春-净月经济开发区,民营公司,50-150人,互联网\电子商务,[''],"""大专"""
直播电商经理,吉广直播（吉林省）网络科技有限公司,10-12,长春-净月经济开发区,民营公司,50-150人,互联网\电子商务,[''],"""大专"""
网店店长,吉广直播（吉林省）网络科技有限公司,7-10,长春-净月经济开发区,民营公司,50-150人,互联网\电子商务,[''],"""大专"""
营销精英预备生,广发银行股份有限公司信用卡中心,10-12,长春,合资,10000人以上,银行,"['带薪年假', '五险一金', '周末双休', '高温补贴', '节日福利', '补充医疗保险']","""大专"""
质量检验员五险一金,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
网络规划设计员+带薪年假,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
基站运行管理员3500+,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
不限经验构架设计师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
硬件工程师机械专业,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
电路设备技术员,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
企业直招工程督导工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
通信技术设计专员,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
建筑工程测绘+双休,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
工程督导工程师,长春市鼎毅网络工程有限公司,5-7,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
基站建设\维护,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""本科"""
企业直招5G运维工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
朝9晚5机械工程师助理,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
设备维护工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
质量检验员五险一金,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
工程CAD设计师双休,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
网络规划设计员+带薪年假,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
基站运行管理员3500+,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
不限经验构架设计师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
硬件工程师机械专业,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
电路设备技术员,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
企业直招工程督导工程师,长春市鼎毅网络工程有限公司,5-7,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
通信技术设计专员,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
市场拓展专员+双休,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
建筑工程测绘+双休,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
自动化电气数控技术专员,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
可实习勘察设计工程师,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
朝9晚5机械工程师助理,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
企业直招5G运维工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
电信\通信技术支持,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
双休+CAD设计工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
有线无线传输工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
可实习设备调试工程师,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
移动通信基站测试+可实习,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
网络优化工程师+提供住宿,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
有线无线设计操作员（提供住宿）,长春市鼎毅网络工程有限公司,5-7,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
5G信号优化专员,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
实习生电信\通信技术支持,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
设备管理员五险一金+双休,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
可实习机械设计师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
测量测绘、施工员,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
五险+CAD设计\制图,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
可实习设备调试工程师,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
可实习建筑景观工程师+双休,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
工程造价\预算工程师3500+双休,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
工程质量监控专员+可实习,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
项目助理底薪3500+双休,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
工程监理+带薪年假,长春市鼎毅网络工程有限公司,5-7,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
应届生\机械设计师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
诚聘工程资料员,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
商品采购助理信息汇总,大连侠刻送物流有限公司,5-7,长春-朝阳区,上市公司,1000-5000人,交通\运输\物流,"['节日福利', '绩效奖金', '带薪年假', '弹性工作']","""无需经验"""
高压铸铝工程师,卡斯马汽车系统（上海）有限公司长春分公司,7-12,长春-汽车产业开发区,外资（欧美）,500-1000人,汽车,"['节日福利', '全勤奖', '免费班车', '世界500强', '带薪年假', '年终奖金', '弹性工作', '六险一金', '交通补贴']","""本科"""
机加操作工,卡斯马汽车系统（上海）有限公司长春分公司,5-7,长春-汽车产业开发区,外资（欧美）,500-1000人,汽车,"['五险一金', '包吃', '节日福利', '全勤奖', '免费班车', '世界500强', '带薪年假']",['']
生产线操作工,卡斯马汽车系统（上海）有限公司长春分公司,5-7,长春-汽车产业开发区,外资（欧美）,500-1000人,汽车,"['五险一金', '包吃', '节日福利', '全勤奖', '免费班车', '世界500强', '带薪年假']","""中专"""
维修工(20届\21届大专毕业生),卡斯马汽车系统（上海）有限公司长春分公司,5-7,长春-汽车产业开发区,外资（欧美）,500-1000人,汽车,"['带薪年假', '五险一金', '免费班车', '节日福利', '通讯补贴', '补充医疗保险', '年终奖金', '包吃']","""大专"""
房地产评估师,北京国信达房地产土地评估有限公司哈尔滨分公司,4-8,长春-南关区,民营公司,500-1000人,房地产,"['节日福利', '带薪年假', '五险一金', '包吃', '交通补贴', '通讯补贴']","""大专"""
大区经理,广东正皓茶业有限公司,10-12,长春-朝阳区,民营公司,50-150人,快速消费品(食品、饮料、化妆品),"['员工旅游', '年终奖金', '节日福利', '带薪年假', '五险一金', '专业培训']","""大专"""
常务副总经理,辽宁依生生物制药有限公司,60-120,异地招聘,合资,500-1000人,制药\生物工程,"['周末双休', '带薪年假', '五险一金', '绩效奖金', '交通补贴', '餐饮补贴', '住房补贴', '采暖补贴', '期权股票']","""硕士"""
少儿英语教学主管,北京安妮教育科技有限公司,7-10,长春-经济技术开发区,民营公司,150-500人,教育\培训\院校,"['绩效奖金', '专业培训', '全勤奖', '年终奖金', '节日福利', '五险一金', '员工旅游']","""本科"""
销售专员,红云制药股份有限公司,7-10,异地招聘,民营公司,500-1000人,制药\生物工程,"['五险一金', '交通补贴', '通讯补贴', '绩效奖金', '定期体检', '员工旅游', '带薪年假']","""大专"""
技术支持工程师,深圳市特力康科技有限公司,5-7,长春-宽城区,民营公司,50-150人,电气\电力\水利,"['五险一金', '员工旅游', '定期体检', '股票期权', '交通补贴', '餐饮补贴', '通讯补贴', '提供住宿', '专业培训']","""大专"""
辽宁\吉林区域销售经理,深圳市特力康科技有限公司,5-12,长春-宽城区,民营公司,50-150人,电气\电力\水利,"['绩效奖金', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '定期体检']","""大专"""
销售代表（双休，六险一金）,广发银行股份有限公司信用卡中心,10-12,长春,合资,10000人以上,银行,"['带薪年假', '五险一金', '周末双休', '高温补贴', '节日福利', '补充医疗保险']","""大专"""
营销员\客户经理（双休，六险一金）,广发银行股份有限公司信用卡中心,10-12,长春,合资,10000人以上,银行,"['带薪年假', '五险一金', '周末双休', '高温补贴', '节日福利', '补充医疗保险']","""大专"""
实习生,广发银行股份有限公司信用卡中心,5-7,长春,合资,10000人以上,银行,"['带薪年假', '五险一金', '周末双休', '高温补贴', '节日福利', '补充医疗保险']","""大专"""
三终端地区经理（县区经理）,吉林敖东医药有限责任公司,7-10,异地招聘,民营公司,50-150人,制药\生物工程,"['专业培训', '绩效奖金', '年终奖金']","""大专"""
院外省区经理,吉林敖东医药有限责任公司,7-10,异地招聘,民营公司,50-150人,制药\生物工程,"['专业培训', '绩效奖金', '年终奖金', '社保五险', '带薪年假', '户外拓展']","""大专"""
自动化电气数控技术专员,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
新基站运行管理员,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
公司直招测试分析工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
电信通信转行\IT运维技术工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
5G新基站运维专员,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
5G新基站设计师+五险一金,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
基站建设\维护,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
企业直招5G运维工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
机械工程师助理,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
电信\通信技术支持,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
可实习基站维护工程师,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
机械CAD制图专员,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
设备调试工程师+五险一金,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
项目助理,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
企业直招通信监理工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
急招无线设计师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
公司直招5G运维专员,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
5G移动通信工程师+五险一金,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
直招无线基站设计师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
通信技术设计专员,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
5G网络覆盖工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
有线无线设计工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
CAD设计+可实习,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
五险一金铁塔设计师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
外市电,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
企业直招无线基站设计师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
五险一金铁塔设计师双休,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
5G移动通信工程师助理,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
5G运维专员+五险一金,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
电信通信转行\IT运维技术工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
CAD设计+可实习,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
测试分析工程师+五险一金,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
急招无线设计师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
可实习设备维护工程师,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
项目经理助理+可实习,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
电信通信转行\IT运维技术工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
5G信号优化专员,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
可实习移动督导项目专员,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
网络优化工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
